,,Datasets,Metadata-source,Owner,Formats,RDF,DCAT-AP,Fecha creacion,Update,Periodicidad,Open Data License,Datos secundarios,Proyecto al que pertenece
,Arbolado de parques y zonas verdes de madrid,https://datos.madrid.es/sites/v/index.jsp?vgnextoid=0101507f09436610VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD,Datos Abiertos Ayto Madrid,Ayuntamiento de Madrid,"CSV,XLS",http://datos.gob.es/apidata/catalog/dataset/l01280796-arbolado-en-parques-y-zonas-verdes-de-madrid1.rdf,https://datos.madrid.es/egob/catalogo/300264-0-Arbolado-parques-historico.dcat,02/10/2018,18/02/2020,anual,https://datos.madrid.es/egob/catalogo/aviso-legal,,MGDS
,Mapa vegetacion y usos del suelo desde 1998,https://datos.comunidad.madrid/catalogo/dataset/spacmvegetacion1998,Datos Abiertos Ayto Madrid,CAM,"JSON,SHP,WMS",https://www.europeandataportal.eu/data/api/metrics/https-datos-comunidad-madrid-catalogo-dataset-spacmvegetacion1998.rdf?useNormalizedId=true&locale=hu,,15/03/2019,18/03/2019,sin definir,https://creativecommons.org/licenses/by/4.0/legalcode.es,"https://idem.madrid.org/geoidem/wms?LAYERS=UsoDelSuelo:SIGI_MA_VEGETACION_1998,Comun:SIGI_ES_PROVINCIAS&STYLES=&FORMAT=image/png&SERVICE=WMS&VERSION=1.1.1&REQUEST=GetMap&SRS=EPSG:23030&BBOX=358000,4410000,502000,4561000&WIDTH=336&HEIGHT=336&CQL_FILTER=1=1;CDPROVINCIA=28",MGDS
,Mapa terreno forestal,https://datos.comunidad.madrid/catalogo/dataset/spacmmtf2008,Datos Abiertos CAM,CAM,"SHP,WMS",,,15/03/2019,18/03/2019,sin definir,https://creativecommons.org/licenses/by/4.0/legalcode.es,http://www.madrid.org/cartografia/staticFiles/catalogo/img/ma_terreno_forestal.png,MGDS
 ,Mapa Digital Continuo de Vegetación de la Comunidad de Madrid,http://datos.comunidad.madrid/catalogo/dataset/spacmveg2006,Datos Abiertos CAM,CAM,"WMS,SHP",,,15/03/2019,18/03/2019,sin definir,https://creativecommons.org/licenses/by/4.0/legalcode.es,http://www.madrid.org/cartografia/staticFiles/catalogo/img/ma_vegetacionl.png,MGDS
,Información gráfica del concurso Bosque Metropolitano,https://geoportal.madrid.es/IDEAM_WBGEOPORTAL/dataset.iam?id=99b845c0-b45d-11ea-8a6a-606dc7e50009,Geoportal Ayto Madrid,Ayuntamiento de Madrid,"SHP, DWG y KML",https://geoportal.madrid.es/IDEAM_WBGEOPORTAL/dcat?id=99b845c0-b45d-11ea-8a6a-606dc7e50009,,01/05/2020,1/05/2020,sin definir,https://datos.madrid.es/egob/catalogo/aviso-legal,,
,Puntos limpios,https://datos.madrid.es/portal/site/egob/menuitem.754985278d15ab64b2c3b244a8a409a0/?vgnextoid=20d612b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextchannel=20d612b9ace9f310VgnVCM100000171f5a0aRCRD&text=Puntos+Limpios+Fijos&buscarEnTitulo=false&btn1=buscar,Datos Abiertos Ayto Madrid,Ayuntamiento de Madrid,"CSV,JSON,XML-APP,RDF-XML,RSS",http://datos.gob.es/apidata/catalog/dataset/l01280796-puntos-limpios-fijos.rdf,https://datos.madrid.es/egob/catalogo/200284-0-puntos-limpios-fijos.dcat,12/03/2014,18/09/2020,semestral,https://datos.madrid.es/egob/catalogo/aviso-legal,https://datos.madrid.es/FWProjects/egob/Catalogo/XComun/Ficheros/Estructura_DS_ConjuntoDatos.pdf,
Agua,,,,,,,,,,,,,
,Fuentes para beber en madrid,https://datos.madrid.es/sites/v/index.jsp?vgnextoid=b8b2e44003b95510VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD,Datos Abiertos Ayto Madrid,Ayuntamiento de Madrid,"RSS,CSV,XLS",http://datos.gob.es/apidata/catalog/dataset/l01280796-fuentes-de-agua-para-beber1.rdf,https://datos.madrid.es/egob/catalogo/300051-0-fuentes.dcat,29/06/2016,3/12/2020,trimestral,https://datos.madrid.es/egob/catalogo/aviso-legal,https://www.madrid.es/portales/munimadrid/es/Inicio/El-Ayuntamiento/Calidad-y-Evaluacion/Modelos-de-Calidad-y-Excelencia/Cartas-de-Servicios/Cartas-de-Servicios-vigentes/Carta-de-Servicios-de-la-Gestion-del-Agua/?vgnextfmt=default&vgnextoid=3856fea70970b610VgnVCM1000001d4a900aRCRD&vgnextchannel=5ef34225faf07410VgnVCM2000000c205a0aRCRD,
,Fuentes,https://datos.madrid.es/sites/v/index.jsp?vgnextoid=b8b2e44003b95510VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD,Datos Abiertos Ayto Madrid,Ayuntamiento de Madrid,"XLS, CSV, GEO, RDF",https://datos.madrid.es/egob/catalogo/300051-0-fuentes.dcat,https://datos.madrid.es/egob/catalogo/300051-0-fuentes.dcat,29/06/2016,3/12/2020,trimestral,https://datos.madrid.es/egob/catalogo/aviso-legal,https://www.madrid.es/portales/munimadrid/es/Inicio/El-Ayuntamiento/Calidad-y-Evaluacion/Modelos-de-Calidad-y-Excelencia/Cartas-de-Servicios/Cartas-de-Servicios-vigentes/Carta-de-Servicios-de-la-Gestion-del-Agua/?vgnextfmt=default&vgnextoid=3856fea70970b610VgnVCM1000001d4a900aRCRD&vgnextchannel=5ef34225faf07410VgnVCM2000000c205a0aRCRD,
,Estanques,,,,,,,,,,,,
